====================
    02-11-2024     
====================

* bootable/recovery
078aaf8  recovery: Add device codename to recovery screen  [Greg Ross]
9c20a0c  recovery: Fix timestamp regex and log if regex match fails  [ppanzenboeck]
3c5852b  recovery_ui: Add support for battery capacity status  [Chippa-a]
a734504  Revert "recovery: Disable `ask_to_ab_reboot` in user build"  [NurKeinNeid]


* build/make
c21467e  Merge tag 'android-14.0.0_r25' of https://android.googlesource.com/platform/build into HEAD  [NurKeinNeid]


* external/wpa_supplicant_8
414f27a  Merge tag 'android-14.0.0_r25' of https://android.googlesource.com/platform/external/wpa_supplicant_8 into HEAD  [NurKeinNeid]


* frameworks/av
efa4e90  libcameraservice: Import Xiaomi DistortionMapper Modifications  [johnmart19]
d8c303f  libcameraservice: Import Xiaomi Exif Camera Modifications  [johnmart19]
db3b49e  frameworks/av: Import Xiaomi Image Tags defenitions  [johnmart19]
45b79f0  libcameraservice: Import Xiaomi Modifications for vendor tags - Inspired from cbf1433 and Xiaomi Changes - Adapted for QPR2 and cleaned mIsFoldStatusChanged  [selfmusing]
90de1cd  Camera: Add support for miui camera mode [1/2]  * devices like ginkgo and some xiaomi sdm660 use miui camera mode in camera    hal to activate certain functions in camera hal, these are enabled when    vendor.camera.miui.apk is set to 1 based on sys.camera.miui.apk value  [selfmusing]
e0dbea9  av: Add legacy 32bit compat to GraphicBufferSource::configure  [someone5678]
068cca9  cameraserver: Let multiple cameras opened by stock camera application  [Lostark13]
b2e888e  fixup! Camera: Avoid roundBufferDimensionsNearest also for HAL_PIXEL_FORMAT_BLOB  [Arian]
9df4632  HACK: libcameraservice: Make system cameras available to all camera apps  [Adithya R]
281d0b0  Merge tag 'android-14.0.0_r25' of https://android.googlesource.com/platform/frameworks/av into HEAD  [NurKeinNeid]
897aa4e  CCodec: Avoid OOB memory access in some cases  [Shrikara B]
7605029  codec2: Change a Info print into Verbose  [Shrikara B]
5b0424b  CCodec: Use pipelineRoom only for HW decoder  [Shrikara B]
7fb88c2  CCodec: Control the inputs to avoid pipeline overflow  [Shrikara B]
6cd3284  codec2: Use numClientBuffers to control the pipeline  [Shrikara B]


* frameworks/base
24ff104b  frameworks/base: Import Xiaomi Image Tags defenitions  [johnmart19]
a1615b4  Camera: Allow setting fallback physical ID for logical camera [2/2]  [Adithya R]
17b8372  core: camera2: StreamConfigurationMap: add constructor for MIUI camera  [Pulkit077]
df3ac1e  Camera: Fix typos in CameraExtensionSessionImpl  [Euisang Lim]
860649b  Fix null-deref crash while fuzzing  [Pawan Wagh]
8903842  TaskPersister: silence spammy message  [Dmitrii]
7771c80  Select the proper request list size  [Guruprasad Gaonkar]
256879d  Camera: Decrement image references after 'onNextImageAvailable'  [Emilian Peev]
3390413  Guard in short-circuit evaluations for stringSplit methods.  [Mohammed Irfan]
ce28226  Camera: Don't throw exceptions when value pairs have spaces in them  [Ricardo Cerqueira]
cbe1728  Fix Photosphere/Camera FCs  [Jostein Kjønigsen]
83f5d9b  Allow sending vendor- or device-specific commands to the camera HAL.  [Danny Baumann]
eab7073  camera: Allow selected camera apps to skip unconfigure  [LuK1337]
38809cc  Camera2: Notify fps as Session Based Parameter  [Sauhard Pande]
0faf97f  camera2: Add methods for backward compatibility  [Ihor Ivanov]
e755302  camera: Add backwards-compatible CaptureResultExtras constructor  [Adithya R]
e5d6b78  SystemUI: Allow disabling long press for lockscreen shortcuts  [Adithya R]
c3dd179  SystemUI: Enable pulsing animation for faceunlock  [aswin7469]
bdeba97  AlarmManager: Handle google and system apps alarm denials  [minaripenguin]
677535d  AlarmManager: Handle all gms exact alarm denials  [Danny Lin]
9eaf766  ActivityThread: Remove Failed to find provider info logspam  [Immanuel Raj]
d4dbff5  appwidget: Catch IllegalStateException when retrieving providers profiles  [minaripenguin]
422ffd8  services: Properly handle wallpaper clearing/reset  [minaripenguin]
175a258  ActivityThread: Prevent a NPE caused by null configuration  [minaripenguin]
b1869b4  ConfigurationController: Prevent app crash caused by null configuration  [minaripenguin]
e96e038  ActivityThread: Resolve runtime exception when pausing an activity  [minaripenguin]
93d7060  WindowManagerService: Fix IndexOutOfBoundsException when traversing AppFreezeListener  [minaripenguin]
46384e9  SystemUI: Implement burn-in protection for status/navbar  [Park Ju Hyung]
29f25f7  Gestures nav: Add Partial Screenshot action  [spezi77]
a984345  Gestures nav: Add Power menu action  [kdrag0n]
cf1090e9d  Show a double arrow when almost triggered in new back affordance as well  [DennySPb]
ff5768d  [SQUASH] Advanced navigation "extended/L" gestures  [ezio84]
ce6dad5  [SQUASH] derpUtils: Actions for advanced navigation gestures  [ezio84]
105418f  Add api to take screenshots  [bigrushdog]
a9e330b  derpUtils: Add method to turn off the screen  [ezio84]
9d74ea6  derpUtils: Reverse actions for QS and notification panel  [ezio84]
0321869  Add api to get or kill foreground app  [ezio84]
f5add1e  Revert "Implement edge long swipe gesture to new back gesture affordance [1/2]"  [NurKeinNeid]
e616138  UdfpsAnimations: Use DisplayUtils.getScaleFactor to support multiple resolutions  [AnierinB]
be27b8d  SystemUI: enable fading squiggle animation of qs media player  [nift4]
77260e3  SystemUI: Cancel keyguard unlock animation when expanding panel  [Adithya R]
89ee122  UdfpsSurfaceView: Allow for increasing enrollment radius  [electimon]
9a06748  UdfpsController: Add separate control for enrollment delay  [electimon]
8b08aba  UdfpsController/Overlay: Delay by frames rather than milliseconds  [electimon]
a8accf3  SystemUI: udfps: fix framework dimming  [nift4]
e7377df  SystemUI: Make sure the udfps animation is hidden on the bouncer  [Dhina17]
238a716  SystemUI: Simplify udfps animation style selection  [Dhina17]
bc911f7  fwb: Config udfps animation package via res  [Dhina17]
f124f48  SystemUI: Update udfps animation position on sensor props change  [Dhina17]
25a7327  SystemUI: Bring back UDFPS animation  [SagarMakhar]
aba0bea  PackageInstaller: Remove side padding from the dialog  [Anushek Prasal]
e88cfd8  PackageInstaller: show current/new version on sideload  [ezio84]
64079f7  SystemUI: Nuke oriented navbar handle  [Ido Ben-Hur]
527f558  fixup! SystemUI: Add double tap to sleep gesture  [someone5678]
b617833  Fixup: ParallelSpaceManager: Add method to get the default cloned apps list  [JunkoYuko]
53ef9e2  base: Add support for parallel space  [LibXZR]
098bd93  display: Allow HBM in manual brightness if no time limitation  [Adithya R]
d5029d1  Add AlarmsBlocker [1/2]  [faust93]
729f15a  Add WakelockBlocker [1/2]  [maxwen]
a00b428  core: Broadcast intent when display power state changes  [Adithya R]
29f84b8  AutoAODService: Better check for doze enablement  [Ido Ben-Hur]
d436afa  AutoAODService: Properly handle reboots & fix some logic  [Ido Ben-Hur]
f091ef6  base: Fix scheduled AOD  [cjh1249131356]
07fc402  AutoAODService: Use Calendar.add instead of Calendar.roll  [Ido Ben-Hur]
46f40e7  AutoAODService: Improve some code  [Ido Ben-Hur]
2a8eb4f  AutoAODService: Slightly improve code and docs  [Ido Ben-Hur]
